"Order (p,d,q)",AIC,BIC,HQIC,Log_Likelihood,MSE,MAE,Ljung_Box_P_L1,Jarque_Bera_P,Heteroskedasticity_P
"(2, 1, 0)",-235.293,-230.992,-233.891,120.647,7.640387543793605,0.4921531385251567,0.93,0.0,0.04
"(1, 1, 1)",-235.442,-231.14,-234.039,120.721,7.640387425528039,0.49206896197976857,0.99,0.0,0.04
"(3, 1, 0)",-233.887,-228.151,-232.017,120.943,7.6403870642113825,0.49202709132526057,0.92,0.0,0.02
"(1, 1, 0)",-235.264,-232.396,-234.329,119.632,7.640389082883433,0.49241387665654957,0.23,0.01,0.07
"(2, 1, 1)",-232.397,-226.661,-230.527,120.198,7.640388003229012,0.4921022805439837,0.76,0.0,0.02
"(3, 1, 1)",-231.032,-223.862,-228.694,120.516,7.640387610366454,0.49205360028676104,0.98,0.0,0.03
"(0, 1, 1)",-222.008,-219.14,-221.073,113.004,7.640402600111789,0.49391143003438004,0.04,0.04,0.85
"(0, 1, 0)",-194.246,-192.812,-193.778,98.123,7.640464193361686,0.49737504246133,0.0,0.26,0.43
