"Order (p,d,q)",AIC,BIC,HQIC,Log_Likelihood,MSE,MAE,Ljung_Box_P_L1,Jarque_Bera_P,Heteroskedasticity_P
"(2, 0, 1)",-67.424,-60.095,-64.995,38.712,0.00850308962417517,0.06564106266566583,0.71,0.39,0.31
"(2, 0, 0)",-65.71,-59.847,-63.766,36.855,0.008807418703702335,0.06755125602803957,0.08,0.38,0.2
"(3, 0, 0)",-66.788,-59.46,-64.359,38.394,0.00851223908114589,0.06595429152692134,0.49,0.42,0.22
"(3, 0, 1)",-65.5,-56.706,-62.585,38.75,0.008599761280543478,0.0655543835045993,0.78,0.41,0.31
"(1, 0, 1)",-49.599,-43.736,-47.656,28.8,0.015975831942468995,0.08583764955743156,0.01,0.31,0.58
"(1, 0, 0)",-23.431,-19.033,-21.973,14.715,0.030173127502129818,0.12172534929950629,0.0,0.05,0.54
"(0, 0, 0)",76.565,79.497,77.537,-36.283,0.5654039948269144,0.7082584425800658,0.0,0.15,0.12
