"Order (p,d,q)",AIC,BIC,HQIC,Log_Likelihood,MSE,MAE,Ljung_Box_P_L1,Jarque_Bera_P,Heteroskedasticity_P
"(2, 1, 0)",-69.776,-65.474,-68.373,37.888,974.7570135169469,5.574566838496597,0.58,0.68,0.15
"(1, 1, 1)",-69.452,-65.15,-68.05,37.726,974.75707421125,5.576699936755987,0.62,0.56,0.21
"(3, 1, 0)",-68.489,-62.753,-66.62,38.245,974.7569001095756,5.575371438615471,0.92,0.59,0.28
"(2, 1, 1)",-68.184,-62.448,-66.314,38.092,974.7569493733516,5.575032552764208,0.79,0.62,0.21
"(1, 1, 0)",-65.865,-62.997,-64.93,34.932,974.7580704043422,5.575911168723902,0.03,0.68,0.09
"(3, 1, 1)",-66.608,-59.438,-64.271,38.304,974.7568806662922,5.575104947234577,0.89,0.6,0.29
"(0, 1, 1)",-54.929,-52.061,-53.994,29.464,974.7604632275454,5.590307789867957,0.01,0.31,0.34
"(0, 1, 0)",-28.92,-27.486,-28.453,15.46,974.7732056624177,5.623260315316276,0.0,0.04,0.27
