val
165.64
165.68
165.69
165.64
165.63
165.57
165.52
165.47
165.36
165.32
165.25
165.2
165.1
165.12
165.13
165.11
165.22
165.44
165.75
165.97
166.04
166.12
166.31
166.54
166.74
166.81
166.74
166.72
166.7
166.73
166.36
166.4
