p,d,q,AIC,RMSE
0,1,0,851.4948929158098,155240.62204539622
0,1,1,821.8864922022357,91562.75077000773
0,1,2,808.7475341587237,117022.84326258878
1,1,0,826.7316308366085,121504.60412635985
1,1,1,807.2705220884541,118045.90109100286
1,1,2,806.7090341502155,124148.97366086625
2,1,0,814.6945416154743,125413.06616194645
2,1,1,805.5677298030677,124094.90859746256
2,1,2,806.9229468772231,124193.03351009119
